Time [s],Packet,Type,Identifier,Control,Data,CRC,ACK
5.038610250000000,26799,DATA,0x108,0x8,0x75 0x43 0x00 0x00 0x00 0x00 0x00 0x00,0x149B,ACK
5.038732500000000,26800,DATA,0x108,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x6C70,ACK
5.038857750000000,26801,DATA,0x108,0x8,0x00 0x00 0x00 0x00 0xF0 0xBF 0xFF 0xFF,0x5C27,ACK
5.038992000000000,26802,DATA,0x108,0x8,0xFF 0xFF 0x00 0x00 0x00 0x00 0x00 0x00,0x5895,ACK
5.039116250000000,26803,DATA,0x108,0x8,0x00 0x00 0x00 0x0A 0x78 0x78 0x00 0x00,0x38EE,ACK
5.039238500000000,26804,DATA,0x108,0x4,0x66 0xCC 0x66 0xCC,0x680F,ACK
5.039402750000000,26805,DATA,0x090,0x8,0x55 0xAA 0x55 0xAA 0x01 0x10 0x0E 0x00,0x677F,ACK
5.039518875000000,26806,DATA,0x090,0x8,0xE9 0xFF 0xFF 0xFF 0x32 0x00 0x00 0x00,0x4CD4,ACK
5.039641125000000,26807,DATA,0x090,0x6,0x36 0x00 0x00 0x00 0xF4 0x0E,0x4ED1,ACK
5.039751375000000,26808,DATA,0x090,0x4,0x66 0xCC 0x66 0xCC,0x5148,ACK
5.041065875000000,26809,DATA,0x090,0x8,0x55 0xAA 0x55 0xAA 0x01 0x10 0x0E 0x00,0x677F,ACK
5.041182125000000,26810,DATA,0x090,0x8,0xEA 0xFF 0xFF 0xFF 0x35 0x00 0x00 0x00,0x28F5,ACK
5.041303375000000,26811,DATA,0x090,0x6,0x35 0x00 0x00 0x00 0xF5 0x0E,0x2883,ACK
5.041411625000000,26812,DATA,0x090,0x4,0x66 0xCC 0x66 0xCC,0x5148,ACK
5.042541125000000,26813,DATA,0x090,0x8,0x55 0xAA 0x55 0xAA 0x02 0x10 0x78 0x00,0x113D,ACK
5.042658250000000,26814,DATA,0x090,0x8,0x18 0x10 0xD9 0x5C 0xEF 0x2F 0xC3 0x3F,0x5A2A,ACK
5.042774500000000,26815,DATA,0x090,0x8,0x2F 0xF5 0xA3 0x01 0xA4 0x0A 0xED 0x3F,0x194C,ACK
5.042898750000000,26816,DATA,0x090,0x8,0x96 0x83 0x0E 0x43 0xD4 0xDD 0xC3 0x3A,0x0E80,ACK
5.043013000000000,26817,DATA,0x090,0x8,0x94 0x5D 0xD3 0x3C 0x79 0x70 0x81 0xBF,0x0DB7,ACK
